setting,k,CNN_1D_PyTorch,LogisticRegression,MLP,RandomForest,SVM
Mixed_QI,2,0.8722839628773653,0.870892186500485,0.8331578485792699,0.8534044773116527,0.8500126390293224
Mixed_QI,5,0.871742677101174,0.871192169992365,0.8380465735333567,0.8525248395617093,0.8485884912610139
Mixed_QI,10,0.8727734673242402,0.8714142557933182,0.8337295712015849,0.848442110666309,0.8495015321598811
Mixed_QI,20,0.8713519634345145,0.8710992473329069,0.8337685845318916,0.8392601138028517,0.8511529245166216
Mixed_QI,50,0.8718745486060956,0.8710976996966632,0.8370160412496647,0.8338752424630114,0.8537650765564062
Mixed_QI,100,0.8723241369348548,0.8710835775159408,0.8387159262087038,0.8347754508780257,0.8512969191721178
Numeric_QI,0,0.9136406079115165,0.909838452570108,0.8878538928210313,0.9068095994717401,0.9065576571882544
Numeric_QI,2,0.8789131337570417,0.8805875472029054,0.8357180903200512,0.8644883901487794,0.8632881982418853
Numeric_QI,5,0.878451164338334,0.8808291074265905,0.8347441112440932,0.8622459942015229,0.8632884561812593
Numeric_QI,10,0.8793364767545035,0.8809582705680857,0.8320162089102577,0.8608015981923607,0.862891809908999
Numeric_QI,20,0.8790802784713482,0.880574263325148,0.832933118899734,0.8616921983656962,0.8632090108540889
Numeric_QI,50,0.8785861311157425,0.8804715389694806,0.8295224510431067,0.8550459390024968,0.8634472823507564
Numeric_QI,100,0.8796447787911928,0.8807276082829492,0.8276359469470296,0.8504920838406143,0.863979024370112
